Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
OSB-Request,1000,15,14,18,20,28,13,82,0.00%,20.4,240.0
SOA-Request,1000,33,30,39,47,75,28,111,0.00%,20.4,255.9
TOTAL,2000,24,28,33,39,66,13,111,0.00%,40.8,495.7
