Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
OSB-Request,1000,103,99,145,166,221,15,285,0.00%,30.1,354.2
SOA-Request,1000,220,218,288,310,359,41,430,0.00%,30.1,377.4
TOTAL,2000,161,150,267,288,342,15,430,0.00%,60.1,730.7
