2015/05/08 21:28:20 INFO  - jmeter.gui.action.template.TemplateManager: Reading templates from:/opt/jmeter/apache-jmeter-2.13/bin/templates/templates.xml 
2015/05/08 21:28:28 INFO  - jmeter.gui.action.Load: Loading file: /opt/jmeter/apache-jmeter-2.13/bin/templates/build-webservice-test-plan.jmx 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/05/08 21:28:28 INFO  - jmeter.save.SaveService: Loading file: /opt/jmeter/apache-jmeter-2.13/bin/templates/build-webservice-test-plan.jmx 
2015/05/08 21:34:22 INFO  - jmeter.services.FileServer: Default base='/home/mnuman/Work/SimpleService' 
2015/05/08 21:34:22 INFO  - jmeter.services.FileServer: Set new base='/home/mnuman/Work/SimpleService' 
2015/05/08 21:34:22 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/05/08 21:34:22 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/05/08 21:34:22 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/08 21:34:22 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/08 21:34:22 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/08 21:34:22 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/08 21:34:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Number of Users 
2015/05/08 21:34:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Number of Users. 
2015/05/08 21:34:23 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/08 21:34:23 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 5 perThread 1000.0 delayedStart=false 
2015/05/08 21:34:23 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/05/08 21:34:23 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/05/08 21:34:23 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/08 21:34:23 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/08 21:34:23 INFO  - jmeter.threads.JMeterThread: Thread started: Number of Users 1-1 
2015/05/08 21:34:23 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = mnuman-localdomain 
2015/05/08 21:34:23 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2015/05/08 21:34:23 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/05/08 21:34:23 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/05/08 21:34:23 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/05/08 21:34:23 INFO  - jmeter.threads.JMeterThread: Thread is done: Number of Users 1-1 
2015/05/08 21:34:23 INFO  - jmeter.threads.JMeterThread: Thread finished: Number of Users 1-1 
2015/05/08 21:34:24 INFO  - jmeter.threads.JMeterThread: Thread started: Number of Users 1-2 
2015/05/08 21:34:24 INFO  - jmeter.threads.JMeterThread: Thread is done: Number of Users 1-2 
2015/05/08 21:34:24 INFO  - jmeter.threads.JMeterThread: Thread finished: Number of Users 1-2 
2015/05/08 21:34:25 INFO  - jmeter.threads.JMeterThread: Thread started: Number of Users 1-3 
2015/05/08 21:34:25 INFO  - jmeter.threads.JMeterThread: Thread is done: Number of Users 1-3 
2015/05/08 21:34:25 INFO  - jmeter.threads.JMeterThread: Thread finished: Number of Users 1-3 
2015/05/08 21:34:26 INFO  - jmeter.threads.JMeterThread: Thread started: Number of Users 1-4 
2015/05/08 21:34:26 INFO  - jmeter.threads.JMeterThread: Thread is done: Number of Users 1-4 
2015/05/08 21:34:26 INFO  - jmeter.threads.JMeterThread: Thread finished: Number of Users 1-4 
2015/05/08 21:34:27 INFO  - jmeter.threads.JMeterThread: Thread started: Number of Users 1-5 
2015/05/08 21:34:27 INFO  - jmeter.threads.JMeterThread: Thread is done: Number of Users 1-5 
2015/05/08 21:34:27 INFO  - jmeter.threads.JMeterThread: Thread finished: Number of Users 1-5 
2015/05/08 21:34:27 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/08 21:34:27 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/08 21:36:30 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/08 21:36:30 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/08 21:36:30 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/08 21:36:30 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Number of Users 
2015/05/08 21:36:30 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Number of Users. 
2015/05/08 21:36:30 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
